2025-08-09 23:34:19 | RepitBot | INFO     | logger.py:120 | setup_logging | ✅ Система логирования инициализирована
2025-08-09 23:36:13 | RepitBot | INFO     | logger.py:120 | setup_logging | ✅ Система логирования инициализирована
2025-08-09 23:36:13 | RepitBot | INFO     | logger.py:120 | setup_logging | ✅ Система логирования инициализирована
2025-08-09 23:36:13 | RepitBot | INFO     | bot.py:154 | main | Database tables created/checked.
2025-08-09 23:36:18 | RepitBot | INFO     | bot.py:316 | main | Запускаем бота...
2025-08-09 23:36:23 | RepitBot | INFO     | bot.py:124 | start_scheduler | ✅ Планировщик запущен с задачами: напоминания об уроках, балансе и дедлайнах ДЗ
2025-08-09 23:36:23 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: database_connection (интервал: 60с)
2025-08-09 23:36:23 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: disk_space (интервал: 300с)
2025-08-09 23:36:23 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: memory_usage (интервал: 120с)
2025-08-09 23:36:23 | RepitBot.HealthMonitor | INFO     | health_monitor.py:265 | setup_default_checks | ✅ Стандартные проверки здоровья настроены
2025-08-09 23:36:23 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: bot_connection (интервал: 120с)
2025-08-09 23:36:23 | RepitBot.HealthMonitor | INFO     | health_monitor.py:99 | start_monitoring | 🔍 Мониторинг здоровья запущен
2025-08-09 23:36:23 | RepitBot | INFO     | bot.py:144 | start_health_monitoring | ✅ Система мониторинга здоровья запущена
2025-08-09 23:36:23 | RepitBot.HealthMonitor | WARNING  | health_monitor.py:149 | _handle_warning | ⚠️ WARNING: Health check database_connection failed 1 times
2025-08-09 23:36:28 | RepitBot.HealthMonitor | WARNING  | health_monitor.py:149 | _handle_warning | ⚠️ WARNING: Health check bot_connection failed 1 times
2025-08-09 23:54:34 | RepitBot | INFO     | logger.py:120 | setup_logging | ✅ Система логирования инициализирована
2025-08-09 23:54:34 | RepitBot | INFO     | logger.py:120 | setup_logging | ✅ Система логирования инициализирована
2025-08-09 23:56:19 | RepitBot | INFO     | logger.py:120 | setup_logging | ✅ Система логирования инициализирована
2025-08-09 23:56:19 | RepitBot | INFO     | logger.py:120 | setup_logging | ✅ Система логирования инициализирована
2025-08-09 23:56:19 | RepitBot | INFO     | bot.py:168 | main | Database tables created/checked.
2025-08-09 23:56:23 | RepitBot | INFO     | bot.py:349 | main | Запускаем бота...
2025-08-09 23:56:24 | RepitBot | INFO     | bot.py:151 | initialize_systems | ✅ Бот инициализирован
2025-08-09 23:56:24 | RepitBot | INFO     | bot.py:155 | initialize_systems | ✅ Подключение к Telegram API установлено. Бот: @roadtomathbot
2025-08-09 23:56:24 | RepitBot | INFO     | bot.py:124 | start_scheduler | ✅ Планировщик запущен с задачами: напоминания об уроках, балансе и дедлайнах ДЗ
2025-08-09 23:56:24 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: database_connection (интервал: 60с)
2025-08-09 23:56:24 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: disk_space (интервал: 300с)
2025-08-09 23:56:24 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: memory_usage (интервал: 120с)
2025-08-09 23:56:24 | RepitBot.HealthMonitor | INFO     | health_monitor.py:265 | setup_default_checks | ✅ Стандартные проверки здоровья настроены
2025-08-09 23:56:24 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: bot_connection (интервал: 120с)
2025-08-09 23:56:24 | RepitBot.HealthMonitor | INFO     | health_monitor.py:99 | start_monitoring | 🔍 Мониторинг здоровья запущен
2025-08-09 23:56:24 | RepitBot | INFO     | bot.py:144 | start_health_monitoring | ✅ Система мониторинга здоровья запущена
2025-08-09 23:56:24 | RepitBot.HealthMonitor | WARNING  | health_monitor.py:149 | _handle_warning | ⚠️ WARNING: Health check database_connection failed 1 times
2025-08-09 23:56:48 | RepitBot | ERROR    | logger.py:228 | log_telegram_error | Telegram error: {'error_type': 'Global Error Handler', 'user_id': 1229333908, 'message': 'Callback: student_view_lesson_5', 'error': "Parent instance <Lesson at 0x20da0c29550> is not bound to a Session; lazy load operation of attribute 'homeworks' cannot proceed (Background on this error at: https://sqlalche.me/e/20/bhk3)"}
2025-08-09 23:56:48 | RepitBot.UserActions | INFO     | logger.py:129 | log_user_action | User 1229333908 - error_encountered | Parent instance <Lesson at 0x20da0c29550> is not bound to a Session; lazy load operation of attribut
